FinalRecordNumber,Time_Hour,Time_Minute,Time_Second,,,,,Latitude_DMM,Longitude_DMM,Altitude_Meters,Pressure_Pascal,Temperature_C,,,,,
720,14,17,56,8,-14,8,-2,4010.71,8454.39,1079.8,89012,6.96,1.17,11.57,0.15,476,379.69
721,14,17,59,8,-7,25,-8,4010.71,8454.38,1091.9,88894,6.91,1.6,10.43,0.58,479,383.21
722,14,18,0,8,1,42,5,4010.71,8454.37,1102.48,88775,6.86,1.92,10.78,0.19,475,378.81
723,14,18,3,8,11,61,0,4010.71,8454.36,1114.82,88623,6.76,2.11,10.86,0.27,468,372.66
724,14,18,6,8,12,36,0,4010.72,8454.33,1128.56,88491,6.82,2.39,10.35,-1.29,477,380.57
725,14,18,8,8,-33,-23,-4,4010.72,8454.32,1142.87,88331,6.84,2.35,11.41,0.62,479,383.21
726,14,18,10,8,-25,-17,-4,4010.72,8454.3,1157.4,88174,6.82,2.39,10.47,0.74,480,384.8
727,14,18,12,8,-39,-46,-17,4010.72,8454.28,1170.73,88027,6.94,2.94,10.9,0.58,478,381.45
728,14,18,15,8,0,-61,-13,4010.72,8454.27,1184.8,87883,6.84,2.58,11.61,0.15,480,384.8
729,14,18,16,8,-17,-47,-11,4010.72,8454.26,1195.77,87758,6.73,1.96,10.86,0,480,384.8
730,14,18,19,8,-5,-8,7,4010.72,8454.24,1208.78,87630,6.71,1.76,10.94,0.19,480,384.8
731,14,18,20,8,5,18,-3,4010.72,8454.23,1221.24,87488,6.71,2.51,11.33,0.47,469,373.54
732,14,18,24,8,-16,-10,-7,4010.73,8454.21,1233.34,87368,6.78,2.23,9.8,0.54,477,381.45
733,14,18,26,8,-4,4,-16,4010.73,8454.2,1243.86,87258,6.75,1.64,12.43,0.11,479,383.21
734,14,18,28,8,0,22,15,4010.74,8454.18,1259.57,87081,6.69,1.84,10.51,0.58,479,383.21
735,14,18,30,8,7,27,4,4010.74,8454.17,1271.25,86959,6.78,1.37,10.55,-1.68,470,374.42
736,14,18,32,8,-1,51,4,4010.74,8454.16,1283.6,86829,6.91,2.3,10.59,0.35,477,381.45
737,14,18,35,8,10,21,0,4010.74,8454.14,1295.59,86697,6.96,2.51,11.72,-1.68,479,382.33
738,14,18,36,8,-10,-10,10,4010.75,8454.12,1314.2,86509,7.6,1.56,10.82,0.9,479,383.21
739,14,18,39,8,-14,-38,9,4010.75,8454.11,1329.65,86341,7,1.29,10.78,0.5,475,378.81
740,14,18,42,8,-27,-41,10,4010.76,8454.9,1345.1,86183,6.96,1.13,10.86,0,479,382.33
741,14,18,44,8,-22,-69,13,4010.76,8454.7,1356.32,86056,6.98,0.98,11.49,0.31,479,383.21
742,14,18,46,8,-7,-58,4,4010.77,8454.5,1370.48,85914,7.3,1.76,10.94,-1.25,479,383.21
743,14,18,48,8,-12,-69,3,4010.78,8454.4,1385.15,85754,7.11,2.7,10.63,0.94,479,383.21
744,14,18,50,8,-9,-68,7,4010.79,8454.2,1403.65,85561,7.7,1.33,10.98,0.19,472,375.3
745,14,18,52,8,-13,-29,5,4010.79,8454,1419.99,85391,7.13,1.84,11.2,0.66,472,376.17
746,14,18,55,8,-2,14,2,4010.79,8453.99,1436.36,85218,7.11,1.68,10.55,0.7,476,380.57
747,14,18,56,8,0,6,-4,4010.8,8453.97,1451.89,85056,7.13,2.54,9.88,-1.13,478,381.45
748,14,18,59,8,1,-21,-6,4010.81,8453.95,1461.97,84957,7.3,2.54,11.6,-1.33,478,382.33
749,14,19,2,8,-6,-46,-6,4010.82,8453.94,1473.78,84823,7.41,2.66,11.21,-1.13,479,383.21
750,14,19,4,8,-18,-74,-7,4010.83,8453.92,1488.21,84684,7.38,2.3,10.59,0.43,479,382.33
751,14,19,6,8,-23,-41,1,4010.83,8453.9,1500.26,84556,7.34,1.76,11.49,0,479,382.33
752,14,19,8,8,-15,-4,-6,4010.84,8453.88,1514.63,84411,7.21,2.27,9.61,0.54,472,376.17
753,14,19,11,8,-7,-25,-11,4010.85,8453.86,1528.34,84269,7.15,2.78,11.76,0.74,477,381.45
754,14,19,12,8,-19,-58,-7,4010.86,8453.85,1541.3,84122,7.11,2.35,10.94,0.39,478,381.45
755,14,19,15,8,-8,-26,-1,4010.86,8453.83,1556.13,83975,7.5,2.54,10.12,0.27,477,380.57
756,14,19,16,8,-6,-16,-8,4010.87,8453.81,1568.73,83845,7.6,2.47,11.25,0.39,476,379.69
757,14,19,20,8,-17,-43,-7,4010.88,8453.78,1582.43,83712,6.98,2.23,10.43,0.39,478,382.33
758,14,19,24,8,-14,-20,-2,4010.89,8453.75,1611.82,83420,6.73,2.19,10.59,0.47,477,381.45
759,14,19,26,8,-10,-9,-8,4010.9,8453.73,1622.55,83288,6.84,2.58,10.63,0.82,477,381.45
760,14,19,28,8,-9,-62,-16,4010.91,8453.71,1636.31,83156,6.94,2.54,11.65,0.27,479,382.33
761,14,19,31,8,-15,-28,-7,4010.92,8453.69,1652.74,82987,6.91,2.31,9.61,0.94,478,381.45
762,14,19,32,8,-11,-42,-20,4010.93,8453.67,1664.98,82857,7.1,3.17,12,0.7,477,381.45
763,14,19,35,8,4,-25,5,4010.94,8453.65,1676.45,82744,6.91,1.25,12.35,-1.25,472,376.17
764,14,19,38,8,-5,-7,-5,4010.95,8453.62,1693.14,82576,7.7,2.51,10.12,0.9,476,380.57
765,14,19,40,8,-31,13,-8,4010.96,8453.61,1705.24,82452,6.93,2.82,12.51,0.11,477,380.57
766,14,19,42,8,21,17,17,4010.97,8453.59,1718.13,82322,6.93,1.52,13.1,-1.68,477,380.57
767,14,19,44,8,1,49,-10,4010.97,8453.57,1738.35,82072,6.73,2.39,10.35,0.54,467,371.78
768,14,19,46,8,-2,25,21,4010.98,8453.55,1746.45,82028,7.6,1.5,11.1,-1.64,473,377.5
769,14,19,48,8,-3,7,-1,4011,8453.52,1764.74,81844,7.7,1.84,10.4,-1.13,472,376.17
770,14,19,51,8,-17,-60,-19,4011,8453.5,1777.51,81715,6.96,2.94,11.45,0.31,474,378.81
771,14,19,52,8,4,-47,-3,4011.1,8453.48,1788.91,81604,6.87,2.3,10.19,-1.49,474,377.93
772,14,19,55,8,-21,-30,-1,4011.1,8453.46,1806.69,81425,6.84,2.11,10.35,0.11,477,379.69
773,14,19,58,8,13,31,20,4011.3,8453.43,1817.82,81304,6.77,1.17,11.17,-1.41,475,379.69
774,14,20,0,8,12,84,6,4011.4,8453.41,1833.96,81151,6.76,1.72,11.41,0,476,379.69
775,14,20,4,8,-6,31,-5,4011.5,8453.36,1857.8,80919,6.61,2.66,12.43,0.39,473,376.17
776,14,20,7,8,-3,3,-2,4011.7,8453.33,1870.39,80786,6.48,2.27,10.55,0.74,472,376.17
777,14,20,8,7,-12,28,10,4011.8,8453.31,1881.9,80664,6.4,1.64,10.9,0.7,474,378.81
778,14,20,11,8,1,23,3,4011.9,8453.29,1896.3,80520,6.16,1.72,10.23,0.39,473,377.5
779,14,20,12,8,-1,31,2,4011.9,8453.26,1906.37,80417,6.15,1.72,12.19,0.3,469,373.54
780,14,20,16,8,-7,26,6,4011.1,8453.23,1921.54,80278,6.1,1.56,11.29,0.27,474,377.93
781,14,20,18,8,4,49,14,4011.11,8453.21,1936.22,80138,5.88,0.82,10,0.86,474,378.81
782,14,20,20,8,2,55,13,4011.12,8453.19,1948.11,80003,5.73,1.21,11.53,0.15,475,379.69
783,14,20,22,8,-2,47,6,4011.13,8453.16,1963.65,79852,5.61,1.84,10.78,0.27,476,379.69
784,14,20,24,8,-8,39,16,4011.14,8453.13,1979.71,79695,5.54,1.33,9.92,0.35,477,380.57
785,14,20,27,8,-2,34,13,4011.15,8453.11,1993.88,79565,5.4,0.66,11.68,0.27,475,379.69
786,14,20,28,8,8,48,9,4011.16,8453.8,2008.88,79415,5.21,1.37,11.8,0.31,475,379.69
787,14,20,31,8,14,45,0,4011.16,8453.5,2025.22,79256,5.23,1.56,9.76,-1.9,475,379.69
788,14,20,34,8,2,43,1,4011.18,8453.2,2034.47,79157,5.32,1.56,11.72,0.3,476,380.57
789,14,20,36,8,0,21,-2,4011.19,8453,2048.92,79024,5.15,2.43,11.2,0.74,476,379.69
790,14,20,38,8,-14,-49,-3,4011.2,8452.98,2064.51,78862,5.19,2.3,10.59,0.66,475,379.69
791,14,20,40,8,-13,-8,-4,4011.21,8452.96,2081.25,78699,5.41,2.35,10.23,0.98,475,379.69
792,14,20,43,8,-18,-51,-15,4011.22,8452.91,2098.84,78531,5.4,2.43,10.39,0.31,476,379.69
793,14,20,44,8,-37,-89,-14,4011.22,8452.89,2108.77,78437,5.23,2.27,10.9,0.58,475,378.81
794,14,20,47,8,-14,-68,1,4011.23,8452.87,2122.3,78302,4.92,1.13,11.57,-1.13,475,378.81
795,14,20,48,8,-8,-42,0,4011.24,8452.85,2135.13,78171,5.23,1.72,9.6,-1.17,465,370.2
796,14,20,52,8,-1,-29,-5,4011.25,8452.8,2144.69,78073,5.45,2.31,11.14,-1.49,471,375.3
797,14,20,54,8,-8,1,9,4011.26,8452.77,2156.52,77968,5.61,2.35,11.8,-1.9,472,377.5
798,14,20,56,8,-14,-21,-13,4011.26,8452.74,2170.73,77829,5.54,2.74,11.53,0.39,473,377.93
799,14,20,58,8,9,-14,5,4011.27,8452.71,2184.86,77696,5.43,1.72,11.1,-1.29,474,377.93
800,14,21,0,8,-8,22,0,4011.28,8452.67,2202.33,77515,5.71,1.64,11.25,-1.9,474,377.93
801,14,21,3,8,2,23,-10,4011.29,8452.64,2216.61,77383,5.53,2.66,10.23,0.43,473,377.93
802,14,21,4,8,-6,-23,7,4011.29,8452.61,2229.56,77261,5.48,1.92,10.8,0.82,473,377.93
803,14,21,7,8,-10,-25,12,4011.29,8452.58,2242.84,77134,5.3,0.94,11.6,0.27,474,377.93
804,14,21,10,8,-18,0,0,4011.3,8452.54,2253.44,77028,5.4,1.68,12,0.11,474,378.81
805,14,21,12,8,-2,-10,-5,4011.3,8452.5,2265.51,76916,4.86,2.31,10.39,0.62,474,377.93
806,14,21,14,8,-6,-42,-8,4011.31,8452.47,2278.1,76801,4.79,2.54,11.65,0.15,474,377.93
807,14,21,16,8,3,-23,-2,4011.32,8452.45,2294.8,76632,4.83,2.7,10.9,0.7,474,377.93
808,14,21,18,8,-8,-61,5,4011.33,8452.41,2312.3,76445,5.2,1.6,10.55,-1.5,474,377.93
809,14,21,20,8,5,-56,2,4011.34,8452.37,2325.85,76339,5.25,1.96,10.19,-1.52,473,377.93
810,14,21,23,8,6,-21,9,4011.34,8452.34,2337.58,76222,5.44,1.8,11.2,-2.11,473,377.5
811,14,21,24,8,0,0,7,4011.34,8452.3,2353.43,76066,5.6,1.49,11.49,-1.5,473,377.93
812,14,21,27,8,-11,-9,4,4011.35,8452.26,2366.35,75944,5.36,1.6,10.55,0.47,467,371.78
813,14,21,30,8,-17,-23,7,4011.36,8452.22,2378.45,75838,5.6,1.56,11.33,0.7,471,375.3
814,14,21,32,8,-17,-33,0,4011.36,8452.19,2393.73,75695,4.75,1.52,10.55,0.27,472,376.17
815,14,21,34,8,-13,-24,-1,4011.36,8452.15,2406.81,75569,4.68,2.19,11.96,0.7,472,377.5
816,14,21,36,8,-14,-16,-5,4011.37,8452.12,2421.81,75421,4.65,2.27,10.31,0.82,466,370.9
817,14,21,39,8,-14,-57,-16,4011.37,8452.6,2437.47,75274,4.81,2.78,10.23,0.19,470,374.42
818,14,21,40,8,-22,-88,-11,4011.37,8452.3,2449.13,75162,4.48,1.25,11.1,0.11,471,375.3
819,14,21,43,8,-13,-67,-3,4011.37,8452,2460.8,75057,4.63,2.27,10.63,-1.1,471,376.17
820,14,21,44,8,-2,-38,13,4011.37,8451.96,2473.2,74930,4.47,1.13,11.53,0.58,470,375.3
821,14,21,48,8,-4,20,-9,4011.37,8451.92,2490.4,74779,4.51,2.3,10.86,0.86,470,374.42
822,14,21,50,8,-6,32,7,4011.37,8451.89,2505.49,74634,4.66,1.8,11.14,0.5,471,375.3
823,14,21,52,8,5,36,11,4011.37,8451.86,2522.67,74466,4.44,0.94,9.17,0.7,472,376.17
824,14,21,54,8,0,66,14,4011.37,8451.82,2533.15,74374,4.63,0.62,10.9,0.94,472,376.17
825,14,21,56,8,6,40,5,4011.37,8451.76,2552.63,74184,4,1.49,11.65,0.27,472,376.17
826,14,21,59,8,0,37,8,4011.36,8451.73,2563.14,74095,4.11,1.29,10.12,0.62,471,376.17
827,14,22,0,8,0,42,15,4011.37,8451.7,2574.73,73989,4,1.21,10.59,-1.1,472,376.17
828,14,22,3,8,4,56,13,4011.37,8451.66,2587.3,73870,3.86,1.37,12.86,0.3,472,376.17
829,14,22,6,8,2,54,16,4011.37,8451.61,2602.91,73726,3.68,1.56,11.65,0.47,471,376.17
830,14,22,8,8,-4,28,8,4011.36,8451.58,2616.49,73598,3.57,1.76,10.47,0.31,471,375.3
831,14,22,10,8,5,8,-2,4011.36,8451.55,2629.22,73491,3.7,2.39,9.72,-1.64,471,376.17
832,14,22,12,8,-2,1,3,4011.35,8451.52,2641.54,73360,4.1,2.47,10.78,-1.41,466,370.9
833,14,22,14,8,-8,-31,-5,4011.35,8451.48,2656.15,73235,4,1.92,10.35,0.11,468,372.66
834,14,22,16,8,0,-10,-2,4011.34,8451.44,2680.87,73001,3.49,1.49,10.7,0.66,465,370.2
835,14,22,19,8,6,11,9,4011.33,8451.42,2680.11,73017,3.9,1.76,11.49,-1.41,467,371.78
836,14,22,20,8,8,21,2,4011.33,8451.39,2695.54,72865,4.11,1.88,10.78,-1.25,462,366.51
837,14,22,24,8,0,-4,-11,4011.33,8451.35,2727.1,72581,3.84,2.51,10.47,-1.1,467,371.78
838,14,22,26,8,-10,42,0,4011.32,8451.32,2728.43,72565,4.6,2.11,10.31,0.15,469,373.54
839,14,22,28,8,-8,34,-4,4011.32,8451.29,2740.98,72454,3.78,2.74,11.37,0.3,470,374.42
840,14,22,30,8,-3,65,4,4011.32,8451.26,2757.17,72299,3.53,2.47,11.65,0.43,464,368.26
841,14,22,32,8,7,50,6,4011.32,8451.22,2773.7,72156,3.68,2.15,9.6,0.27,467,371.78
842,14,22,35,8,2,17,-8,4011.32,8451.18,2785.98,72034,3.65,3.13,11.41,0.78,467,371.78
843,14,22,36,8,-18,12,-1,4011.31,8451.15,2797.73,71931,3.59,2.43,11.88,0.15,468,373.54
844,14,22,39,8,1,65,-1,4011.31,8451.13,2814.34,71785,3.36,2.3,10.59,0.62,467,371.78
845,14,22,40,8,-2,83,-14,4011.31,8451.9,2830.9,71641,3.38,3.5,11.57,0.74,467,370.9
846,14,22,44,8,-13,77,-9,4011.3,8451.5,2843.44,71525,3.47,2.15,10.39,0.15,466,370.9
847,14,22,46,8,10,13,0,4011.31,8451.1,2856.14,71406,3.52,2.11,10.15,-1.52,468,372.66
848,14,22,48,8,-7,-2,12,4011.31,8450.99,2870.41,71272,3.75,0.9,12,0.86,467,371.78
849,14,22,50,8,-4,-23,0,4011.3,8450.96,2885.81,71133,3.45,1.6,10.23,0.35,467,371.78
850,14,22,52,8,-22,-38,7,4011.3,8450.91,2897.23,71047,3.3,1.52,11.6,0.19,469,373.54
851,14,22,56,8,-7,-47,3,4011.3,8450.85,2925.25,70784,3.18,1.25,10.19,-1.29,465,370.2
852,14,22,59,8,2,-48,0,4011.3,8450.83,2935.27,70688,3.55,1.68,10.7,-1.25,461,365.63
853,14,23,2,8,-8,-68,-6,4011.29,8450.79,2951.11,70552,3.75,2.39,11.45,0.82,463,367.39
854,14,23,4,8,-23,-61,-13,4011.29,8450.76,2967.3,70411,3.68,2.43,11.1,0.31,465,370.2
855,14,23,6,8,-21,-29,-5,4011.29,8450.73,2981.62,70266,3.45,1.84,9.33,0.54,466,370.9
856,14,23,8,8,-12,-38,-14,4011.29,8450.7,2993.84,70175,3.25,2.7,10.94,0.3,466,370.9
857,14,23,11,8,-17,-30,-7,4011.28,8450.67,3006.4,70058,3,1.76,10.98,0.54,468,372.66
858,14,23,12,8,15,-3,0,4011.28,8450.65,3018.64,69947,3.15,2,11.72,-1.68,469,373.54
859,14,23,15,8,1,13,1,4011.28,8450.62,3034.84,69802,3.51,2.39,10.27,-1.9,467,371.78
860,14,23,16,8,-9,10,-15,4011.28,8450.59,3048.47,69678,3.33,2.78,11.72,0.19,466,370.9
861,14,23,20,7,-13,53,7,4011.28,8450.55,3062.1,69571,3.11,2.7,11.45,0.3,468,372.66
862,14,23,22,8,0,80,-3,4011.28,8450.53,3075.12,69441,2.83,2.39,9.49,0.43,468,372.66
863,14,23,24,8,15,75,-2,4011.28,8450.5,3085.18,69362,2.94,2.43,13.2,-1.13,467,371.78
864,14,23,26,8,12,73,7,4011.29,8450.48,3102.29,69201,3.26,1.64,11.1,0.62,464,369.14
865,14,23,28,8,2,64,9,4011.29,8450.43,3115.79,69086,3.11,1.37,10,0.47,466,370.9
866,14,23,31,8,-1,46,1,4011.28,8450.41,3124.65,69004,2.79,2.31,11.72,0.3,466,370.9
867,14,23,32,8,-15,44,0,4011.28,8450.39,3138.86,68876,2.58,2.11,10.74,0.31,466,370.9
868,14,23,35,8,-6,56,13,4011.29,8450.37,3153.55,68762,2.39,1.8,11.21,0.11,461,366.51
869,14,23,38,8,8,20,-2,4011.28,8450.32,3167.58,68635,2.27,2.39,10.86,0.62,466,370.9
870,14,23,40,7,-4,25,-3,4011.28,8450.29,3180.48,68514,2.59,2,9.25,0.58,465,370.9
871,14,23,42,8,-25,-13,-4,4011.28,8450.27,3191.69,68419,2.34,2.15,11.6,0.3,466,370.9
872,14,23,44,8,13,-2,7,4011.28,8450.25,3204.28,68308,2.28,1.6,12.19,-1.76,466,370.9
873,14,23,47,8,-4,10,-11,4011.29,8450.21,3222.75,68149,2.63,2.15,8.59,-1.1,467,371.78
874,14,23,48,8,-17,-8,-12,4011.29,8450.17,3233.8,68056,2.51,2.62,10.94,0.7,467,371.78
875,14,23,51,8,3,5,0,4011.29,8450.14,3244.58,67959,2.6,2.54,11.49,-1.25,465,370.9
876,14,23,52,8,0,-12,-5,4011.29,8450.11,3258.4,67835,2.83,2.3,10.66,-1.9,463,368.26
877,14,23,56,8,-2,-17,5,4011.3,8450.6,3272.81,67710,2.99,1.6,11.41,-1.41,466,370.9
878,14,23,58,8,-3,10,4,4011.3,8450.4,3287.82,67590,3.16,1.29,10.51,0.7,466,370.9
879,14,24,0,8,-10,12,-3,4011.3,8450.1,3298.46,67490,2.73,2.27,11.88,0.7,465,370.9
880,14,24,2,8,-1,21,1,4011.3,8449.98,3313.86,67361,2.69,2.19,10.9,0.94,465,370.2
881,14,24,4,8,-2,-64,-12,4011.31,8449.93,3331.49,67206,2.73,2.47,11.1,0.98,466,370.9
882,14,24,7,8,-25,-78,-13,4011.32,8449.9,3346.59,67079,2.73,2.15,10.63,0.11,466,370.9
883,14,24,8,8,-35,-40,-5,4011.32,8449.87,3362.3,66944,2.33,2.7,11.72,0.31,465,370.2
884,14,24,11,8,-26,-47,-6,4011.32,8449.84,3373.84,66850,2.6,1.96,10.55,0,461,365.63
885,14,24,14,8,-14,-22,-2,4011.34,8449.8,3385.27,66746,1.73,1.68,11.84,0.31,464,369.14
886,14,24,16,8,1,-2,5,4011.34,8449.77,3401.51,66611,1.8,2.3,9.96,0.9,464,369.14
887,14,24,18,8,-14,-3,-3,4011.34,8449.74,3411.45,66530,1.89,2.47,10.9,0.31,464,369.14
888,14,24,20,8,-10,-28,-11,4011.34,8449.71,3423.63,66418,1.67,2.11,11.17,0.15,464,369.14
889,14,24,22,8,-2,2,3,4011.34,8449.68,3438.6,66292,1.58,1.45,10.27,0.82,465,369.14
890,14,24,24,8,1,38,8,4011.34,8449.64,3447.69,66214,1.72,1.25,11.14,0.7,462,367.39
891,14,24,27,8,0,41,3,4011.35,8449.61,3456.39,66128,1.6,1.49,10.31,0.58,463,368.26
892,14,24,28,8,-1,27,3,4011.36,8449.59,3467.92,66047,1.45,1.96,12.67,0,464,369.14
893,14,24,31,8,-3,31,3,4011.36,8449.56,3482.3,65917,1.25,1.76,10.23,0.58,464,369.14
894,14,24,34,8,0,58,17,4011.37,8449.51,3498.23,65781,1.37,1.1,10.78,0.66,465,370.2
895,14,24,36,8,4,51,10,4011.37,8449.49,3508.4,65705,1.29,1.68,11.17,0.31,464,369.14
896,14,24,38,8,-2,33,1,4011.37,8449.46,3521.41,65596,1.5,1.68,10.74,0.15,464,369.14
897,14,24,40,8,0,35,5,4011.38,8449.44,3536.34,65464,0.91,1.88,11.33,0.47,463,368.26
898,14,24,43,8,7,47,8,4011.38,8449.39,3555.69,65309,1.5,1.72,8.74,-1.9,464,369.14
899,14,24,44,8,0,-8,-1,4011.39,8449.36,3564.1,65230,1.35,3.2,11.21,-1.37,464,369.14
900,14,24,47,8,-16,-42,-2,4011.39,8449.32,3575.79,65129,1.19,1.84,11.33,0,464,369.14
901,14,24,48,8,12,-8,0,4011.39,8449.29,3587.59,65031,1.26,1.76,11.25,-1.56,464,369.14
902,14,24,52,8,-10,-4,-8,4011.39,8449.25,3603.1,64899,1.44,2.62,11.33,0.39,464,369.14
903,14,24,54,8,-6,26,-2,4011.4,8449.22,3616.85,64790,1.6,2.39,11.41,0.3,464,369.14
904,14,24,56,8,0,94,-3,4011.4,8449.19,3632.52,64654,0.9,2.11,10.82,0.39,464,369.14
905,14,24,58,8,7,69,-3,4011.4,8449.16,3645.83,64542,1.5,2.31,9.8,-1.21,462,366.51
906,14,25,0,8,2,90,10,4011.4,8449.13,3659.3,64430,1.39,1.1,12.12,0.31,464,369.14
907,14,25,3,8,-2,67,7,4011.41,8449.11,3669.85,64334,1.9,1.68,11.17,0.11,463,368.26
908,14,25,4,8,-2,37,0,4011.41,8449.8,3684.65,64215,0.7,2.23,11.6,0.19,463,368.26
909,14,25,7,8,-3,39,1,4011.41,8449.4,3698.63,64105,0.65,2.19,11.37,0.15,460,364.75
910,14,25,8,8,-13,38,-6,4011.41,8449.1,3715.5,63977,0.55,2,9.64,0.47,463,367.39
911,14,25,12,8,-14,60,-3,4011.41,8448.98,3727.87,63865,0.35,2.31,11.17,0.23,461,365.63
912,14,25,14,8,-11,24,0,4011.41,8448.95,3741.19,63749,0.13,2.11,10.51,0.43,462,367.39
913,14,25,16,8,3,41,4,4011.42,8448.92,3755.25,63633,0.3,2.3,10,0.5,458,363.87
914,14,25,18,8,-11,10,-1,4011.41,8448.89,3766.54,63542,0.8,2.43,11.92,0.23,461,366.51
915,14,25,23,8,18,9,-7,4011.41,8448.82,3791.84,63343,0.18,1.88,12.12,-1.88,462,367.39
916,14,25,24,8,-19,5,9,4011.42,8448.79,3810.13,63188,0.55,1.64,9.33,-1.5,457,362.11
917,14,25,27,8,0,-25,-19,4011.42,8448.76,3822.1,63093,0.61,2.51,11.17,0.98,462,366.51
918,14,25,30,8,-12,-28,12,4011.42,8448.71,3833.96,62987,0.33,1.76,10.9,0.31,460,365.63
919,14,25,32,8,21,18,0,4011.42,8448.69,3846.32,62898,0.45,1.52,11.37,-1.56,462,366.51
920,14,25,34,8,7,54,1,4011.43,8448.66,3858.58,62794,0.86,1.64,11.61,-1.5,457,362.11
921,14,25,36,8,9,79,1,4011.43,8448.63,3872.82,62665,0.83,1.52,11.1,0.3,461,365.63
922,14,25,39,8,6,81,-5,4011.44,8448.59,3888.92,62540,0.85,2.23,11.2,0.86,462,367.39
923,14,25,40,8,0,38,7,4011.44,8448.56,3905.55,62415,0.99,2,8.27,0.86,462,367.39
924,14,25,43,8,-14,-6,-13,4011.44,8448.53,3916.16,62326,0.78,3.17,12.51,0.27,461,365.63
925,14,25,44,8,-10,-50,-8,4011.44,8448.51,3929.62,62212,0.48,2.35,10.9,0.62,461,366.51
926,14,25,48,8,-5,-33,-14,4011.44,8448.46,3944.95,62093,0.71,2.35,11.14,0.58,462,367.39
927,14,25,50,8,-8,-12,14,4011.44,8448.43,3957.71,61985,0.45,1.52,10.51,0.43,462,367.39
928,14,25,52,8,-4,1,-17,4011.44,8448.4,3970.73,61887,0.41,2.54,11.21,0.86,462,366.51
929,14,25,54,8,0,-39,1,4011.45,8448.37,3984.4,61776,0.43,2.7,9.88,0.82,459,364.75
930,14,25,56,8,-12,-33,4,4011.45,8448.33,3994.72,61685,0.55,1.88,10.12,0.47,462,366.51
931,14,25,59,8,-16,0,-11,4011.46,8448.3,4005.67,61606,0.16,1.84,9.8,0.31,462,366.51
932,14,26,0,8,-5,5,12,4011.46,8448.28,4017.89,61495,0.11,1.72,11.49,0.47,462,367.39
933,14,26,3,8,1,7,-1,4011.46,8448.25,4033.37,61379,0.16,1.8,9.6,-1.29,462,366.51
934,14,26,6,8,2,-8,-8,4011.46,8448.2,4044.62,61286,0.18,2.47,11.21,-1.21,462,367.39
935,14,26,8,8,0,-21,12,4011.46,8448.17,4055.1,61209,0.51,1.8,11.21,-1.56,462,367.39
936,14,26,10,8,0,-25,-7,4011.47,8448.13,4069.42,61077,0.73,2.43,11.25,0.7,462,367.39
937,14,26,12,8,-26,-12,-4,4011.47,8448.1,4083.48,60979,0.18,1.45,12.55,0.15,455,360.35
938,14,26,15,8,0,-2,-4,4011.47,8448.5,4099.57,60855,0.11,1.8,10.35,-1.33,460,365.63
939,14,26,16,8,13,12,1,4011.47,8448.3,4110.27,60767,0.58,2.51,12.12,-1.37,461,366.51
940,14,26,19,8,-8,-10,0,4011.48,8448.1,4127.4,60641,0.7,2.3,9.21,0.98,461,366.51
941,14,26,20,8,-7,-7,-12,4011.48,8447.97,4136.25,60558,0.33,1.92,11.92,0.3,461,366.51
942,14,26,24,8,-10,11,-2,4011.49,8447.92,4149.4,60460,0.1,1.88,11.17,0.54,462,366.51
943,14,26,26,8,-6,24,15,4011.49,8447.89,4164.8,60339,0.2,1.25,11.65,0.7,461,366.51
944,14,26,30,8,5,50,2,4011.49,8447.85,4186.27,60157,0.1,1.45,10.8,0.47,459,364.75
945,14,26,32,8,-9,44,6,4011.5,8447.82,4200.63,60060,0.4,1.92,11.1,0.3,461,365.63
946,14,26,35,8,-3,52,12,4011.51,8447.78,4217.43,59916,0.46,1.68,10.35,0.47,459,363.87
947,14,26,36,8,0,31,0,4011.51,8447.75,4227.25,59834,0.72,1.96,11.2,0,460,365.63
948,14,26,39,8,-19,50,6,4011.51,8447.73,4243.59,59721,-1.1,2.27,11.68,0.15,454,359.48
949,14,26,40,8,0,39,22,4011.51,8447.71,4261.23,59573,0.85,1.52,11.45,0.7,458,363.87
950,14,26,44,8,-7,-8,-1,4011.51,8447.66,4272.63,59493,-1.22,1.56,10.51,0.39,460,365.63
951,14,26,46,8,1,-12,-3,4011.52,8447.63,4285.33,59392,-1.37,1.72,9.64,0.62,460,365.63
952,14,26,48,8,-10,-32,8,4011.52,8447.59,4294.7,59318,-1.58,1.29,12.39,0.5,460,365.63
953,14,26,50,8,-11,-31,0,4011.53,8447.56,4307.4,59224,-1.3,2,11.21,-1.5,457,362.11
954,14,26,52,8,-23,-39,-2,4011.53,8447.51,4322.61,59092,-1.45,2.15,11.25,0.11,459,364.75
955,14,26,55,8,7,4,5,4011.53,8447.48,4337.44,58980,-1.61,1.76,11.25,-1.52,460,365.63
956,14,26,56,8,13,50,-4,4011.54,8447.46,4348.28,58904,0.98,2.3,10.94,-1.56,460,365.63
957,14,26,59,8,10,70,1,4011.54,8447.43,4366,58754,0.61,1.33,11.14,-1.29,458,363.87
958,14,27,2,8,1,82,-1,4011.55,8447.38,4381.15,58632,-1.6,1.68,9.8,0.39,460,365.63
959,14,27,4,8,3,56,-4,4011.55,8447.34,4393.73,58547,-1.25,2.82,11.37,0.62,460,365.63
960,14,27,6,8,-2,16,-5,4011.55,8447.32,4408.41,58448,-1.3,2.35,10.51,0.66,454,359.48
